campaign_id,campaign_name,channel,campaign_type,region,start_date,end_date,budget_usd,spend_usd,impressions,clicks,leads_generated,conversions
CAMP0063,Synergize Innovative Channels Campaign,Display,Brand Awareness,LATAM,2025-03-16,2025-05-14,76235.2,60266.52,55383,6698,145,91
CAMP0064,Mesh E-Business Interfaces Campaign,Paid Social,Lead Generation,EMEA,2025-03-13,2025-04-30,24434.01,16489.29,93418,5052,245,120
CAMP0065,Implement Turn-Key Networks Campaign,Display,Brand Awareness,LATAM,2026-01-01,2026-02-19,5967.13,5864.08,276454,7988,93,142
CAMP0066,Orchestrate User-Centric Schemas Campaign,Display,Lead Generation,APAC,2025-08-08,2025-10-11,60699.82,51835.8,289023,17146,240,133
CAMP0067,Re-Intermediate Out-Of-The-Box Infrastructures Campaign,Event,Brand Awareness,APAC,2024-05-11,2024-05-26,63148.73,62732.34,403456,14305,155,120
CAMP0068,Cultivate Visionary Vortals Campaign,SEO,Nurture,APAC,2025-03-22,2025-05-04,47459.95,31084.33,202140,7198,663,138
CAMP0069,Leverage Bleeding-Edge Paradigms Campaign,SEO,Nurture,APAC,2024-10-30,2024-12-17,78103.75,54713.53,421719,7142,218,10
CAMP0070,Facilitate Ubiquitous Eyeballs Campaign,Email,Upsell,LATAM,2025-02-20,2025-03-30,19229.25,14311.74,227244,16342,724,133
CAMP0071,Reinvent Killer Mindshare Campaign,Content,Retention,APAC,2025-08-30,2025-10-24,2685.86,2503.92,186615,9897,800,95
CAMP0072,Maximize Wireless Functionalities Campaign,Paid Search,Nurture,EMEA,2025-12-25,2026-01-16,65814.48,49517.89,124606,7887,392,5
CAMP0073,Enhance Compelling Methodologies Campaign,Display,Upsell,EMEA,2024-09-19,2024-10-25,6838.17,5729.03,308995,6548,721,130
CAMP0074,Re-Intermediate Strategic Solutions Campaign,Paid Social,Lead Generation,Global,2025-04-15,2025-04-29,45509.56,33416.93,282080,18271,280,10
CAMP0075,Seize Cutting-Edge E-Business Campaign,Event,Upsell,Global,2025-11-04,2026-01-14,30162.57,27333.69,426484,5691,573,22
CAMP0076,Re-Intermediate Intuitive Vortals Campaign,Display,Retention,EMEA,2024-10-14,2024-12-23,4219.14,3694.84,384739,3442,558,121
CAMP0077,Architect Integrated Models Campaign,Webinar,Lead Generation,APAC,2025-03-26,2025-06-19,18487.11,16205.09,468274,13464,294,86
CAMP0078,Syndicate Innovative Interfaces Campaign,Paid Search,Nurture,APAC,2024-12-15,2025-02-06,60770.16,59063.85,366742,3997,340,130
CAMP0079,Synergize Web-Enabled E-Commerce Campaign,Webinar,Upsell,Global,2024-04-21,2024-07-12,16759.44,13281.15,270401,11298,59,77
CAMP0080,Revolutionize 24/7 Models Campaign,Display,Retention,North America,2025-04-03,2025-05-05,76570.99,62911.11,313596,5672,255,37
CAMP0081,Integrate Global E-Tailers Campaign,SEO,Brand Awareness,Global,2024-11-19,2025-01-03,35773.46,29522.98,295378,2933,159,104
CAMP0082,Deploy Dot-Com Experiences Campaign,Paid Search,Brand Awareness,EMEA,2025-11-16,2025-12-15,65326.31,44484.65,439532,18533,656,113
CAMP0083,Integrate Frictionless Synergies Campaign,Paid Search,Upsell,Global,2025-09-01,2025-10-24,76184.15,63798.68,270171,8139,463,125
CAMP0084,Reinvent Out-Of-The-Box Info-Mediaries Campaign,Webinar,Lead Generation,North America,2025-06-18,2025-08-13,34322.05,24931.84,222455,14810,493,29
CAMP0085,Leverage Web-Enabled Metrics Campaign,Email,Retention,Global,2026-02-09,2026-02-28,37677.94,32220.79,401953,15524,303,115
CAMP0086,E-Enable Value-Added Infrastructures Campaign,Paid Social,Brand Awareness,North America,2025-06-21,2025-09-04,21874.99,16772.66,494995,12381,741,16
CAMP0087,Redefine Granular Architectures Campaign,Event,Lead Generation,Global,2024-10-12,2024-12-11,5202.34,4284.08,165058,7684,648,80
CAMP0088,Implement Intuitive E-Services Campaign,SEO,Lead Generation,North America,2026-03-26,2026-05-18,8964.46,6217.94,428447,4439,138,7
CAMP0089,Whiteboard Intuitive Architectures Campaign,Paid Search,Lead Generation,LATAM,2026-02-11,2026-04-09,43983.94,28934.35,20731,542,28,9
CAMP0090,Reinvent Bleeding-Edge Models Campaign,Display,Nurture,Global,2025-10-25,2026-01-03,53697.05,44371.45,13418,6213,600,124
CAMP0091,Implement Virtual Roi Campaign,Paid Search,Lead Generation,North America,2024-05-15,2024-06-09,8497.91,5637.31,472250,11559,777,100
CAMP0092,Enhance Next-Generation E-Commerce Campaign,Paid Social,Brand Awareness,LATAM,2025-07-06,2025-09-19,34020.34,24694.16,24343,13414,395,112
CAMP0093,Maximize Enterprise Channels Campaign,Email,Upsell,North America,2024-09-29,2024-11-03,44466.61,30648.15,326299,2531,78,47
CAMP0094,Transform Distributed Markets Campaign,Content,Lead Generation,North America,2025-11-08,2025-11-29,7570.33,6136.43,126221,12308,35,149
CAMP0095,Reinvent Compelling Solutions Campaign,Paid Social,Nurture,Global,2024-10-02,2024-12-15,73879.2,66215.96,418540,13301,429,146
CAMP0096,Cultivate Virtual Platforms Campaign,Paid Search,Brand Awareness,APAC,2025-12-14,2026-03-01,45087.09,45669.47,434879,8204,174,23
CAMP0097,Monetize Wireless Partnerships Campaign,Email,Lead Generation,Global,2024-12-14,2025-02-12,10895.27,8762.88,100355,4248,567,18
CAMP0098,Incubate Real-Time Supply-Chains Campaign,Paid Search,Brand Awareness,LATAM,2025-12-03,2026-01-30,50344.72,48178.18,176990,9845,339,150
CAMP0099,Utilize E-Business Schemas Campaign,Content,Retention,LATAM,2024-10-31,2024-12-13,78533.81,69579.67,201127,10199,16,123
CAMP0100,Exploit Customized E-Commerce Campaign,Display,Lead Generation,North America,2025-04-29,2025-07-25,46117.63,38123.75,58552,6753,422,126
CAMP0101,Visualize Interactive Vortals Campaign,Event,Upsell,North America,2024-11-10,2025-01-17,68379.22,50910.57,429588,17740,671,24
CAMP0102,Incentivize Visionary Web-Readiness Campaign,SEO,Brand Awareness,Global,2025-02-04,2025-04-01,14290.76,10436.41,487210,19671,731,87
CAMP0103,Visualize 24/7 Channels Campaign,Display,Nurture,LATAM,2026-03-29,2026-06-02,77189.12,58425.46,457137,13298,743,90
CAMP0104,Cultivate 24/365 Supply-Chains Campaign,Display,Lead Generation,APAC,2024-06-25,2024-08-26,17523.29,14082.15,331346,15910,54,15
CAMP0105,Drive Robust Channels Campaign,Content,Upsell,APAC,2024-10-23,2024-12-28,49615.57,35839.36,238231,2786,207,4
CAMP0106,Brand E-Business Convergence Campaign,SEO,Brand Awareness,APAC,2025-05-10,2025-07-08,51979.76,41720.47,317597,18072,122,45
CAMP0107,Envisioneer Revolutionary Vortals Campaign,Content,Retention,North America,2024-06-22,2024-09-08,67934.67,48698.61,6266,18230,529,13
CAMP0108,Embrace Value-Added Systems Campaign,Email,Brand Awareness,EMEA,2024-05-07,2024-05-26,70294.56,70930.48,79866,7274,357,143
CAMP0109,Matrix Ubiquitous Supply-Chains Campaign,Paid Social,Lead Generation,APAC,2024-05-24,2024-07-01,28616.84,28156.32,85820,2246,64,51
CAMP0110,Empower Cross-Platform Applications Campaign,Event,Nurture,APAC,2025-02-02,2025-05-03,42287.24,41510.01,448409,19587,667,136
CAMP0111,Transform Clicks-And-Mortar Synergies Campaign,Event,Nurture,EMEA,2024-11-18,2024-12-06,65440.49,54442.68,490000,7964,344,67
CAMP0112,Envisioneer Back-End Roi Campaign,Content,Retention,EMEA,2025-11-04,2025-12-05,17906.27,12399.65,278191,16475,599,90
CAMP0113,Transform Distributed Interfaces Campaign,Event,Nurture,LATAM,2024-07-02,2024-08-05,30249.72,29936.48,5580,19450,123,87
CAMP0114,Engage Open-Source Web-Readiness Campaign,Display,Retention,North America,2025-01-14,2025-04-06,17909.93,13029.95,488920,18635,132,17
CAMP0115,Redefine Distributed E-Business Campaign,Event,Brand Awareness,LATAM,2026-02-11,2026-03-20,43649.01,35790.85,435092,14266,760,120
CAMP0116,Integrate Enterprise Experiences Campaign,SEO,Retention,EMEA,2025-11-21,2025-12-24,52006.67,52200.36,332086,5760,11,53
CAMP0117,Integrate Clicks-And-Mortar Interfaces Campaign,SEO,Upsell,LATAM,2025-09-15,2025-12-07,52758.46,43461.05,9342,12472,693,35
CAMP0118,Visualize Revolutionary Niches Campaign,Paid Search,Nurture,North America,2025-11-21,2026-01-15,21948.46,15342.88,306943,16223,264,27
CAMP0119,Syndicate Front-End Systems Campaign,SEO,Upsell,APAC,2025-02-23,2025-05-08,40421.67,26996.2,121153,5483,367,36
CAMP0120,Re-Contextualize Best-Of-Breed Convergence Campaign,Email,Upsell,APAC,2025-05-03,2025-07-16,69992.39,66912.29,369955,4237,446,20
